time;pid;state;info
70449562;11236;WAIT_WRITE_BEGIN;page=3
70450406;11236;WRITING;page=3
70451495;11236;RELEASE_WRITE_BEGIN;page=3
70451495;11236;IDLE;page=3
70452108;11236;WAIT_WRITE_BEGIN;page=13
70452513;11236;WRITING;page=13
70453427;11236;RELEASE_WRITE_BEGIN;page=13
70453427;11236;IDLE;page=13
70453654;11236;WAIT_WRITE_BEGIN;page=11
70453654;11236;WRITING;page=11
70454956;11236;RELEASE_WRITE_BEGIN;page=11
70454957;11236;IDLE;page=11
70455525;11236;WAIT_WRITE_BEGIN;page=2
70455528;11236;WRITING;page=2
70456056;11236;RELEASE_WRITE_BEGIN;page=2
70456056;11236;IDLE;page=2
70456440;11236;WAIT_WRITE_BEGIN;page=13
70457336;11236;WRITING;page=13
70458144;11236;RELEASE_WRITE_BEGIN;page=13
70458144;11236;IDLE;page=13
70458466;11236;WAIT_WRITE_BEGIN;page=4
70460031;11236;WRITING;page=4
70461118;11236;RELEASE_WRITE_BEGIN;page=4
70461118;11236;IDLE;page=4
70461366;11236;WAIT_WRITE_BEGIN;page=2
70462463;11236;WRITING;page=2
70463776;11236;RELEASE_WRITE_BEGIN;page=2
70463777;11236;IDLE;page=2
70464315;11236;WAIT_WRITE_BEGIN;page=16
70465680;11236;WRITING;page=16
70466488;11236;RELEASE_WRITE_BEGIN;page=16
70466488;11236;IDLE;page=16
70467031;11236;WAIT_WRITE_BEGIN;page=14
70467031;11236;WRITING;page=14
70468005;11236;RELEASE_WRITE_BEGIN;page=14
70468005;11236;IDLE;page=14
70468254;11236;WAIT_WRITE_BEGIN;page=7
70468254;11236;WRITING;page=7
70469622;11236;RELEASE_WRITE_BEGIN;page=7
70469622;11236;IDLE;page=7
70470175;11236;WAIT_WRITE_BEGIN;page=3
70470565;11236;WRITING;page=3
70471700;11236;RELEASE_WRITE_BEGIN;page=3
70471700;11236;IDLE;page=3
70471914;11236;WAIT_WRITE_BEGIN;page=6
70472653;11236;WRITING;page=6
70473429;11236;RELEASE_WRITE_BEGIN;page=6
70473429;11236;IDLE;page=6
70474000;11236;WAIT_WRITE_BEGIN;page=1
70474000;11236;WRITING;page=1
70475132;11236;RELEASE_WRITE_BEGIN;page=1
70475132;11236;IDLE;page=1
70475736;11236;WAIT_WRITE_BEGIN;page=15
70476763;11236;WRITING;page=15
70478073;11236;RELEASE_WRITE_BEGIN;page=15
70478073;11236;IDLE;page=15
70478380;11236;WAIT_WRITE_BEGIN;page=14
70479591;11236;WRITING;page=14
70480461;11236;RELEASE_WRITE_BEGIN;page=14
70480461;11236;IDLE;page=14
70480801;11236;WAIT_WRITE_BEGIN;page=12
70480801;11236;WRITING;page=12
70482187;11236;RELEASE_WRITE_BEGIN;page=12
70482187;11236;IDLE;page=12
70482850;11236;WAIT_WRITE_BEGIN;page=2
70482850;11236;WRITING;page=2
70484249;11236;RELEASE_WRITE_BEGIN;page=2
70484249;11236;IDLE;page=2
70484769;11236;WAIT_WRITE_BEGIN;page=1
70484769;11236;WRITING;page=1
70485458;11236;RELEASE_WRITE_BEGIN;page=1
70485458;11236;IDLE;page=1
70485936;11236;WAIT_WRITE_BEGIN;page=9
70485936;11236;WRITING;page=9
70487196;11236;RELEASE_WRITE_BEGIN;page=9
70487196;11236;IDLE;page=9
70487797;11236;WAIT_WRITE_BEGIN;page=11
70487797;11236;WRITING;page=11
70488462;11236;RELEASE_WRITE_BEGIN;page=11
70488462;11236;IDLE;page=11
