time;pid;state;info
70447312;14712;WAIT_READ_BEGIN;page=5
70447312;14712;READING;page=5
70448469;14712;RELEASE_READ_BEGIN;page=5
70448469;14712;IDLE;page=5
70449025;14712;WAIT_READ_BEGIN;page=1
70449025;14712;READING;page=1
70450427;14712;RELEASE_READ_BEGIN;page=1
70450427;14712;IDLE;page=1
70451022;14712;WAIT_READ_BEGIN;page=7
70451022;14712;READING;page=7
70451937;14712;RELEASE_READ_BEGIN;page=7
70451937;14712;IDLE;page=7
70452211;14712;WAIT_READ_BEGIN;page=11
70452211;14712;READING;page=11
70452771;14712;RELEASE_READ_BEGIN;page=11
70452771;14712;IDLE;page=11
70453095;14712;WAIT_READ_BEGIN;page=12
70453095;14712;READING;page=12
70453988;14712;RELEASE_READ_BEGIN;page=12
70453988;14712;IDLE;page=12
70454546;14712;WAIT_READ_BEGIN;page=6
70454546;14712;READING;page=6
70455228;14712;RELEASE_READ_BEGIN;page=6
70455228;14712;IDLE;page=6
70455568;14712;WAIT_READ_BEGIN;page=2
70456051;14712;READING;page=2
70457501;14712;RELEASE_READ_BEGIN;page=2
70457501;14712;IDLE;page=2
70457718;14712;WAIT_READ_BEGIN;page=8
70457719;14712;READING;page=8
70458447;14712;RELEASE_READ_BEGIN;page=8
70458447;14712;IDLE;page=8
70459004;14712;WAIT_READ_BEGIN;page=5
70459221;14712;READING;page=5
70460445;14712;RELEASE_READ_BEGIN;page=5
70460445;14712;IDLE;page=5
70460723;14712;WAIT_READ_BEGIN;page=16
70460723;14712;READING;page=16
70462053;14712;RELEASE_READ_BEGIN;page=16
70462053;14712;IDLE;page=16
70462440;14712;WAIT_READ_BEGIN;page=15
70463339;14712;READING;page=15
70464806;14712;RELEASE_READ_BEGIN;page=15
70464806;14712;IDLE;page=15
70465042;14712;WAIT_READ_BEGIN;page=14
70465042;14712;READING;page=14
70465831;14712;RELEASE_READ_BEGIN;page=14
70465831;14712;IDLE;page=14
70466497;14712;WAIT_READ_BEGIN;page=4
70466497;14712;READING;page=4
70467309;14712;RELEASE_READ_BEGIN;page=4
70467309;14712;IDLE;page=4
70467768;14712;WAIT_READ_BEGIN;page=5
70468359;14712;READING;page=5
70469070;14712;RELEASE_READ_BEGIN;page=5
70469070;14712;IDLE;page=5
70469397;14712;WAIT_READ_BEGIN;page=3
70469397;14712;READING;page=3
70470560;14712;RELEASE_READ_BEGIN;page=3
70470560;14712;IDLE;page=3
70470870;14712;WAIT_READ_BEGIN;page=6
70470870;14712;READING;page=6
70472079;14712;RELEASE_READ_BEGIN;page=6
70472080;14712;IDLE;page=6
70472509;14712;WAIT_READ_BEGIN;page=13
70472509;14712;READING;page=13
70473843;14712;RELEASE_READ_BEGIN;page=13
70473843;14712;IDLE;page=13
70474412;14712;WAIT_READ_BEGIN;page=15
70474583;14712;READING;page=15
70476058;14712;RELEASE_READ_BEGIN;page=15
70476058;14712;IDLE;page=15
70476521;14712;WAIT_READ_BEGIN;page=9
70476521;14712;READING;page=9
70477351;14712;RELEASE_READ_BEGIN;page=9
70477351;14712;IDLE;page=9
70477738;14712;WAIT_READ_BEGIN;page=6
70477960;14712;READING;page=6
70478905;14712;RELEASE_READ_BEGIN;page=6
70478905;14712;IDLE;page=6
