time;pid;state;info
70450000;14108;WAIT_WRITE_BEGIN;page=6
70450505;14108;WRITING;page=6
70451402;14108;RELEASE_WRITE_BEGIN;page=6
70451402;14108;IDLE;page=6
70451896;14108;WAIT_WRITE_BEGIN;page=2
70451896;14108;WRITING;page=2
70452514;14108;RELEASE_WRITE_BEGIN;page=2
70452514;14108;IDLE;page=2
70452746;14108;WAIT_WRITE_BEGIN;page=16
70452919;14108;WRITING;page=16
70454228;14108;RELEASE_WRITE_BEGIN;page=16
70454228;14108;IDLE;page=16
70454691;14108;WAIT_WRITE_BEGIN;page=3
70454691;14108;WRITING;page=3
70455684;14108;RELEASE_WRITE_BEGIN;page=3
70455684;14108;IDLE;page=3
70456348;14108;WAIT_WRITE_BEGIN;page=10
70456348;14108;WRITING;page=10
70457275;14108;RELEASE_WRITE_BEGIN;page=10
70457275;14108;IDLE;page=10
70457910;14108;WAIT_WRITE_BEGIN;page=5
70457974;14108;WRITING;page=5
70459227;14108;RELEASE_WRITE_BEGIN;page=5
70459227;14108;IDLE;page=5
70459859;14108;WAIT_WRITE_BEGIN;page=0
70459891;14108;WRITING;page=0
70460762;14108;RELEASE_WRITE_BEGIN;page=0
70460762;14108;IDLE;page=0
70461211;14108;WAIT_WRITE_BEGIN;page=11
70461661;14108;WRITING;page=11
70463101;14108;RELEASE_WRITE_BEGIN;page=11
70463101;14108;IDLE;page=11
70463360;14108;WAIT_WRITE_BEGIN;page=1
70463607;14108;WRITING;page=1
70465110;14108;RELEASE_WRITE_BEGIN;page=1
70465111;14108;IDLE;page=1
70465649;14108;WAIT_WRITE_BEGIN;page=11
70465759;14108;WRITING;page=11
70466756;14108;RELEASE_WRITE_BEGIN;page=11
70466756;14108;IDLE;page=11
70467203;14108;WAIT_WRITE_BEGIN;page=5
70467203;14108;WRITING;page=5
70468365;14108;RELEASE_WRITE_BEGIN;page=5
70468365;14108;IDLE;page=5
70468595;14108;WAIT_WRITE_BEGIN;page=8
70468595;14108;WRITING;page=8
70469216;14108;RELEASE_WRITE_BEGIN;page=8
70469216;14108;IDLE;page=8
70469622;14108;WAIT_WRITE_BEGIN;page=4
70469622;14108;WRITING;page=4
70471048;14108;RELEASE_WRITE_BEGIN;page=4
70471048;14108;IDLE;page=4
70471296;14108;WAIT_WRITE_BEGIN;page=6
70472086;14108;WRITING;page=6
70472654;14108;RELEASE_WRITE_BEGIN;page=6
70472654;14108;IDLE;page=6
70473364;14108;WAIT_WRITE_BEGIN;page=12
70474172;14108;WRITING;page=12
70474853;14108;RELEASE_WRITE_BEGIN;page=12
70474853;14108;IDLE;page=12
70475537;14108;WAIT_WRITE_BEGIN;page=0
70475537;14108;WRITING;page=0
70476654;14108;RELEASE_WRITE_BEGIN;page=0
70476654;14108;IDLE;page=0
70477024;14108;WAIT_WRITE_BEGIN;page=4
70477357;14108;WRITING;page=4
70478057;14108;RELEASE_WRITE_BEGIN;page=4
70478057;14108;IDLE;page=4
70478707;14108;WAIT_WRITE_BEGIN;page=14
70480462;14108;WRITING;page=14
70481051;14108;RELEASE_WRITE_BEGIN;page=14
70481051;14108;IDLE;page=14
70481453;14108;WAIT_WRITE_BEGIN;page=5
70481453;14108;WRITING;page=5
70482868;14108;RELEASE_WRITE_BEGIN;page=5
70482868;14108;IDLE;page=5
70483568;14108;WAIT_WRITE_BEGIN;page=6
70483568;14108;WRITING;page=6
70484103;14108;RELEASE_WRITE_BEGIN;page=6
70484103;14108;IDLE;page=6
