time;pid;state;info
70529218;25360;WAIT_WRITE_BEGIN;page=9
70529218;25360;WRITING;page=9
70529960;25360;RELEASE_WRITE_BEGIN;page=9
70529960;25360;IDLE;page=9
70530380;25360;WAIT_WRITE_BEGIN;page=10
70530380;25360;WRITING;page=10
70530926;25360;RELEASE_WRITE_BEGIN;page=10
70530926;25360;IDLE;page=10
70531401;25360;WAIT_WRITE_BEGIN;page=8
70531401;25360;WRITING;page=8
70532780;25360;RELEASE_WRITE_BEGIN;page=8
70532780;25360;IDLE;page=8
70533073;25360;WAIT_WRITE_BEGIN;page=16
70533073;25360;WRITING;page=16
70533938;25360;RELEASE_WRITE_BEGIN;page=16
70533938;25360;IDLE;page=16
70534372;25360;WAIT_WRITE_BEGIN;page=5
70534372;25360;WRITING;page=5
70535781;25360;RELEASE_WRITE_BEGIN;page=5
70535781;25360;IDLE;page=5
70536043;25360;WAIT_WRITE_BEGIN;page=4
70536043;25360;WRITING;page=4
70536849;25360;RELEASE_WRITE_BEGIN;page=4
70536849;25360;IDLE;page=4
70537190;25360;WAIT_WRITE_BEGIN;page=2
70537190;25360;WRITING;page=2
70538372;25360;RELEASE_WRITE_BEGIN;page=2
70538372;25360;IDLE;page=2
70538916;25360;WAIT_WRITE_BEGIN;page=9
70538916;25360;WRITING;page=9
70540112;25360;RELEASE_WRITE_BEGIN;page=9
70540112;25360;IDLE;page=9
70540619;25360;WAIT_WRITE_BEGIN;page=3
70540619;25360;WRITING;page=3
70541129;25360;RELEASE_WRITE_BEGIN;page=3
70541129;25360;IDLE;page=3
70541699;25360;WAIT_WRITE_BEGIN;page=13
70541699;25360;WRITING;page=13
70543035;25360;RELEASE_WRITE_BEGIN;page=13
70543035;25360;IDLE;page=13
70543612;25360;WAIT_WRITE_BEGIN;page=16
70543612;25360;WRITING;page=16
70544764;25360;RELEASE_WRITE_BEGIN;page=16
70544764;25360;IDLE;page=16
70545042;25360;WAIT_WRITE_BEGIN;page=1
70545042;25360;WRITING;page=1
70546190;25360;RELEASE_WRITE_BEGIN;page=1
70546190;25360;IDLE;page=1
70546620;25360;WAIT_WRITE_BEGIN;page=12
70546620;25360;WRITING;page=12
70547680;25360;RELEASE_WRITE_BEGIN;page=12
70547681;25360;IDLE;page=12
70548115;25360;WAIT_WRITE_BEGIN;page=1
70548115;25360;WRITING;page=1
70548859;25360;RELEASE_WRITE_BEGIN;page=1
70548861;25360;IDLE;page=1
70549443;25360;WAIT_WRITE_BEGIN;page=9
70549443;25360;WRITING;page=9
70550490;25360;RELEASE_WRITE_BEGIN;page=9
70550490;25360;IDLE;page=9
70551013;25360;WAIT_WRITE_BEGIN;page=9
70551013;25360;WRITING;page=9
70552066;25360;RELEASE_WRITE_BEGIN;page=9
70552067;25360;IDLE;page=9
70552391;25360;WAIT_WRITE_BEGIN;page=15
70552391;25360;WRITING;page=15
70552919;25360;RELEASE_WRITE_BEGIN;page=15
70552920;25360;IDLE;page=15
70553402;25360;WAIT_WRITE_BEGIN;page=2
70553402;25360;WRITING;page=2
70553943;25360;RELEASE_WRITE_BEGIN;page=2
70553943;25360;IDLE;page=2
70554499;25360;WAIT_WRITE_BEGIN;page=12
70554499;25360;WRITING;page=12
70555325;25360;RELEASE_WRITE_BEGIN;page=12
70555325;25360;IDLE;page=12
70555807;25360;WAIT_WRITE_BEGIN;page=15
70555807;25360;WRITING;page=15
70556366;25360;RELEASE_WRITE_BEGIN;page=15
70556366;25360;IDLE;page=15
