time;pid;state;info
70450140;10932;WAIT_WRITE_BEGIN;page=11
70450140;10932;WRITING;page=11
70451121;10932;RELEASE_WRITE_BEGIN;page=11
70451121;10932;IDLE;page=11
70451445;10932;WAIT_WRITE_BEGIN;page=13
70451617;10932;WRITING;page=13
70452511;10932;RELEASE_WRITE_BEGIN;page=13
70452511;10932;IDLE;page=13
70453038;10932;WAIT_WRITE_BEGIN;page=0
70453459;10932;WRITING;page=0
70454675;10932;RELEASE_WRITE_BEGIN;page=0
70454675;10932;IDLE;page=0
70455214;10932;WAIT_WRITE_BEGIN;page=13
70456347;10932;WRITING;page=13
70457335;10932;RELEASE_WRITE_BEGIN;page=13
70457335;10932;IDLE;page=13
70457924;10932;WAIT_WRITE_BEGIN;page=7
70458529;10932;WRITING;page=7
70459193;10932;RELEASE_WRITE_BEGIN;page=7
70459193;10932;IDLE;page=7
70459528;10932;WAIT_WRITE_BEGIN;page=6
70459528;10932;WRITING;page=6
70460590;10932;RELEASE_WRITE_BEGIN;page=6
70460590;10932;IDLE;page=6
70461240;10932;WAIT_WRITE_BEGIN;page=13
70461240;10932;WRITING;page=13
70461948;10932;RELEASE_WRITE_BEGIN;page=13
70461948;10932;IDLE;page=13
70462505;10932;WAIT_WRITE_BEGIN;page=9
70462505;10932;WRITING;page=9
70463466;10932;RELEASE_WRITE_BEGIN;page=9
70463466;10932;IDLE;page=9
70463928;10932;WAIT_WRITE_BEGIN;page=12
70463928;10932;WRITING;page=12
70465403;10932;RELEASE_WRITE_BEGIN;page=12
70465403;10932;IDLE;page=12
70465662;10932;WAIT_WRITE_BEGIN;page=11
70466754;10932;WRITING;page=11
70467927;10932;RELEASE_WRITE_BEGIN;page=11
70467927;10932;IDLE;page=11
70468484;10932;WAIT_WRITE_BEGIN;page=15
70468484;10932;WRITING;page=15
70469044;10932;RELEASE_WRITE_BEGIN;page=15
70469044;10932;IDLE;page=15
70469478;10932;WAIT_WRITE_BEGIN;page=5
70469478;10932;WRITING;page=5
70470159;10932;RELEASE_WRITE_BEGIN;page=5
70470160;10932;IDLE;page=5
70470439;10932;WAIT_WRITE_BEGIN;page=10
70470439;10932;WRITING;page=10
70471775;10932;RELEASE_WRITE_BEGIN;page=10
70471775;10932;IDLE;page=10
70472389;10932;WAIT_WRITE_BEGIN;page=6
70473427;10932;WRITING;page=6
70474122;10932;RELEASE_WRITE_BEGIN;page=6
70474122;10932;IDLE;page=6
70474755;10932;WAIT_WRITE_BEGIN;page=10
70474755;10932;WRITING;page=10
70475705;10932;RELEASE_WRITE_BEGIN;page=10
70475706;10932;IDLE;page=10
70476138;10932;WAIT_WRITE_BEGIN;page=5
70476541;10932;WRITING;page=5
70477712;10932;RELEASE_WRITE_BEGIN;page=5
70477712;10932;IDLE;page=5
70478116;10932;WAIT_WRITE_BEGIN;page=1
70478116;10932;WRITING;page=1
70479486;10932;RELEASE_WRITE_BEGIN;page=1
70479486;10932;IDLE;page=1
70480147;10932;WAIT_WRITE_BEGIN;page=6
70480147;10932;WRITING;page=6
70480972;10932;RELEASE_WRITE_BEGIN;page=6
70480972;10932;IDLE;page=6
70481434;10932;WAIT_WRITE_BEGIN;page=0
70482510;10932;WRITING;page=0
70483605;10932;RELEASE_WRITE_BEGIN;page=0
70483605;10932;IDLE;page=0
70484293;10932;WAIT_WRITE_BEGIN;page=13
70484293;10932;WRITING;page=13
70485396;10932;RELEASE_WRITE_BEGIN;page=13
70485396;10932;IDLE;page=13
