time;pid;state;info
70449750;25224;WAIT_WRITE_BEGIN;page=3
70452215;25224;WRITING;page=3
70452992;25224;RELEASE_WRITE_BEGIN;page=3
70452992;25224;IDLE;page=3
70453391;25224;WAIT_WRITE_BEGIN;page=0
70454673;25224;WRITING;page=0
70456020;25224;RELEASE_WRITE_BEGIN;page=0
70456020;25224;IDLE;page=0
70456607;25224;WAIT_WRITE_BEGIN;page=7
70456607;25224;WRITING;page=7
70457923;25224;RELEASE_WRITE_BEGIN;page=7
70457923;25224;IDLE;page=7
70458184;25224;WAIT_WRITE_BEGIN;page=7
70459191;25224;WRITING;page=7
70459823;25224;RELEASE_WRITE_BEGIN;page=7
70459823;25224;IDLE;page=7
70460056;25224;WAIT_WRITE_BEGIN;page=9
70460477;25224;WRITING;page=9
70461334;25224;RELEASE_WRITE_BEGIN;page=9
70461334;25224;IDLE;page=9
70462022;25224;WAIT_WRITE_BEGIN;page=15
70462022;25224;WRITING;page=15
70463340;25224;RELEASE_WRITE_BEGIN;page=15
70463340;25224;IDLE;page=15
70463570;25224;WAIT_WRITE_BEGIN;page=6
70463570;25224;WRITING;page=6
70464594;25224;RELEASE_WRITE_BEGIN;page=6
70464594;25224;IDLE;page=6
70464806;25224;WAIT_WRITE_BEGIN;page=6
70464806;25224;WRITING;page=6
70465433;25224;RELEASE_WRITE_BEGIN;page=6
70465433;25224;IDLE;page=6
70465675;25224;WAIT_WRITE_BEGIN;page=14
70465832;25224;WRITING;page=14
70466780;25224;RELEASE_WRITE_BEGIN;page=14
70466780;25224;IDLE;page=14
70467058;25224;WAIT_WRITE_BEGIN;page=6
70467058;25224;WRITING;page=6
70467617;25224;RELEASE_WRITE_BEGIN;page=6
70467617;25224;IDLE;page=6
70468219;25224;WAIT_WRITE_BEGIN;page=14
70468219;25224;WRITING;page=14
70468778;25224;RELEASE_WRITE_BEGIN;page=14
70468778;25224;IDLE;page=14
70469320;25224;WAIT_WRITE_BEGIN;page=13
70469320;25224;WRITING;page=13
70470561;25224;RELEASE_WRITE_BEGIN;page=13
70470562;25224;IDLE;page=13
70471152;25224;WAIT_WRITE_BEGIN;page=4
70471152;25224;WRITING;page=4
70472450;25224;RELEASE_WRITE_BEGIN;page=4
70472450;25224;IDLE;page=4
70473005;25224;WAIT_WRITE_BEGIN;page=12
70473005;25224;WRITING;page=12
70474167;25224;RELEASE_WRITE_BEGIN;page=12
70474167;25224;IDLE;page=12
70474491;25224;WAIT_WRITE_BEGIN;page=8
70474491;25224;WRITING;page=8
70475425;25224;RELEASE_WRITE_BEGIN;page=8
70475425;25224;IDLE;page=8
70475857;25224;WAIT_WRITE_BEGIN;page=15
70478070;25224;WRITING;page=15
70479572;25224;RELEASE_WRITE_BEGIN;page=15
70479572;25224;IDLE;page=15
70480113;25224;WAIT_WRITE_BEGIN;page=5
70480113;25224;WRITING;page=5
70481186;25224;RELEASE_WRITE_BEGIN;page=5
70481186;25224;IDLE;page=5
70481556;25224;WAIT_WRITE_BEGIN;page=12
70482183;25224;WRITING;page=12
70483530;25224;RELEASE_WRITE_BEGIN;page=12
70483530;25224;IDLE;page=12
70484010;25224;WAIT_WRITE_BEGIN;page=9
70484010;25224;WRITING;page=9
70485394;25224;RELEASE_WRITE_BEGIN;page=9
70485394;25224;IDLE;page=9
70485963;25224;WAIT_WRITE_BEGIN;page=8
70485963;25224;WRITING;page=8
70487301;25224;RELEASE_WRITE_BEGIN;page=8
70487301;25224;IDLE;page=8
