time;pid;state;info
70449875;15852;WAIT_WRITE_BEGIN;page=5
70449875;15852;WRITING;page=5
70450886;15852;RELEASE_WRITE_BEGIN;page=5
70450886;15852;IDLE;page=5
70451191;15852;WAIT_WRITE_BEGIN;page=7
70451968;15852;WRITING;page=7
70453390;15852;RELEASE_WRITE_BEGIN;page=7
70453390;15852;IDLE;page=7
70453756;15852;WAIT_WRITE_BEGIN;page=14
70453756;15852;WRITING;page=14
70454748;15852;RELEASE_WRITE_BEGIN;page=14
70454748;15852;IDLE;page=14
70455287;15852;WAIT_WRITE_BEGIN;page=4
70456599;15852;WRITING;page=4
70457439;15852;RELEASE_WRITE_BEGIN;page=4
70457439;15852;IDLE;page=4
70457842;15852;WAIT_WRITE_BEGIN;page=14
70457842;15852;WRITING;page=14
70459190;15852;RELEASE_WRITE_BEGIN;page=14
70459190;15852;IDLE;page=14
70459711;15852;WAIT_WRITE_BEGIN;page=2
70460195;15852;WRITING;page=2
70461654;15852;RELEASE_WRITE_BEGIN;page=2
70461654;15852;IDLE;page=2
70462174;15852;WAIT_WRITE_BEGIN;page=11
70463110;15852;WRITING;page=11
70464111;15852;RELEASE_WRITE_BEGIN;page=11
70464111;15852;IDLE;page=11
70464714;15852;WAIT_WRITE_BEGIN;page=11
70465243;15852;WRITING;page=11
70465768;15852;RELEASE_WRITE_BEGIN;page=11
70465768;15852;IDLE;page=11
70466355;15852;WAIT_WRITE_BEGIN;page=2
70467677;15852;WRITING;page=2
70469147;15852;RELEASE_WRITE_BEGIN;page=2
70469147;15852;IDLE;page=2
70469784;15852;WAIT_WRITE_BEGIN;page=8
70469784;15852;WRITING;page=8
70470529;15852;RELEASE_WRITE_BEGIN;page=8
70470529;15852;IDLE;page=8
70470947;15852;WAIT_WRITE_BEGIN;page=3
70471710;15852;WRITING;page=3
70473206;15852;RELEASE_WRITE_BEGIN;page=3
70473206;15852;IDLE;page=3
70473529;15852;WAIT_WRITE_BEGIN;page=16
70473529;15852;WRITING;page=16
70474583;15852;RELEASE_WRITE_BEGIN;page=16
70474583;15852;IDLE;page=16
70474937;15852;WAIT_WRITE_BEGIN;page=2
70474937;15852;WRITING;page=2
70475903;15852;RELEASE_WRITE_BEGIN;page=2
70475904;15852;IDLE;page=2
70476598;15852;WAIT_WRITE_BEGIN;page=4
70476598;15852;WRITING;page=4
70477366;15852;RELEASE_WRITE_BEGIN;page=4
70477366;15852;IDLE;page=4
70477911;15852;WAIT_WRITE_BEGIN;page=3
70477911;15852;WRITING;page=3
70479423;15852;RELEASE_WRITE_BEGIN;page=3
70479423;15852;IDLE;page=3
70479677;15852;WAIT_WRITE_BEGIN;page=16
70480316;15852;WRITING;page=16
70481252;15852;RELEASE_WRITE_BEGIN;page=16
70481252;15852;IDLE;page=16
70481694;15852;WAIT_WRITE_BEGIN;page=3
70481694;15852;WRITING;page=3
70482969;15852;RELEASE_WRITE_BEGIN;page=3
70482969;15852;IDLE;page=3
70483670;15852;WAIT_WRITE_BEGIN;page=6
70484111;15852;WRITING;page=6
70485092;15852;RELEASE_WRITE_BEGIN;page=6
70485092;15852;IDLE;page=6
70485575;15852;WAIT_WRITE_BEGIN;page=11
70485575;15852;WRITING;page=11
70486240;15852;RELEASE_WRITE_BEGIN;page=11
70486240;15852;IDLE;page=11
70486581;15852;WAIT_WRITE_BEGIN;page=9
70487206;15852;WRITING;page=9
70488690;15852;RELEASE_WRITE_BEGIN;page=9
70488690;15852;IDLE;page=9
