time;pid;state;info
70449296;6892;WAIT_READ_BEGIN;page=3
70449297;6892;READING;page=3
70450402;6892;RELEASE_READ_BEGIN;page=3
70450402;6892;IDLE;page=3
70450931;6892;WAIT_READ_BEGIN;page=15
70450931;6892;READING;page=15
70452229;6892;RELEASE_READ_BEGIN;page=15
70452229;6892;IDLE;page=15
70452585;6892;WAIT_READ_BEGIN;page=12
70452585;6892;READING;page=12
70453316;6892;RELEASE_READ_BEGIN;page=12
70453316;6892;IDLE;page=12
70453742;6892;WAIT_READ_BEGIN;page=7
70453742;6892;READING;page=7
70455074;6892;RELEASE_READ_BEGIN;page=7
70455074;6892;IDLE;page=7
70455413;6892;WAIT_READ_BEGIN;page=4
70455413;6892;READING;page=4
70456585;6892;RELEASE_READ_BEGIN;page=4
70456585;6892;IDLE;page=4
70457223;6892;WAIT_READ_BEGIN;page=5
70457223;6892;READING;page=5
70457968;6892;RELEASE_READ_BEGIN;page=5
70457968;6892;IDLE;page=5
70458572;6892;WAIT_READ_BEGIN;page=4
70458572;6892;READING;page=4
70460027;6892;RELEASE_READ_BEGIN;page=4
70460027;6892;IDLE;page=4
70460616;6892;WAIT_READ_BEGIN;page=0
70460757;6892;READING;page=0
70461564;6892;RELEASE_READ_BEGIN;page=0
70461565;6892;IDLE;page=0
70462038;6892;WAIT_READ_BEGIN;page=8
70462038;6892;READING;page=8
70463480;6892;RELEASE_READ_BEGIN;page=8
70463480;6892;IDLE;page=8
70463786;6892;WAIT_READ_BEGIN;page=16
70463786;6892;READING;page=16
70464746;6892;RELEASE_READ_BEGIN;page=16
70464746;6892;IDLE;page=16
70465384;6892;WAIT_READ_BEGIN;page=7
70465384;6892;READING;page=7
70466887;6892;RELEASE_READ_BEGIN;page=7
70466887;6892;IDLE;page=7
70467322;6892;WAIT_READ_BEGIN;page=1
70467322;6892;READING;page=1
70468268;6892;RELEASE_READ_BEGIN;page=1
70468268;6892;IDLE;page=1
70468868;6892;WAIT_READ_BEGIN;page=16
70468868;6892;READING;page=16
70469972;6892;RELEASE_READ_BEGIN;page=16
70469972;6892;IDLE;page=16
70470392;6892;WAIT_READ_BEGIN;page=13
70470562;6892;READING;page=13
70471572;6892;RELEASE_READ_BEGIN;page=13
70471572;6892;IDLE;page=13
70472003;6892;WAIT_READ_BEGIN;page=13
70472003;6892;READING;page=13
70472961;6892;RELEASE_READ_BEGIN;page=13
70472961;6892;IDLE;page=13
70473328;6892;WAIT_READ_BEGIN;page=11
70473328;6892;READING;page=11
70474431;6892;RELEASE_READ_BEGIN;page=11
70474432;6892;IDLE;page=11
70474954;6892;WAIT_READ_BEGIN;page=5
70474954;6892;READING;page=5
70476028;6892;RELEASE_READ_BEGIN;page=5
70476028;6892;IDLE;page=5
70476553;6892;WAIT_READ_BEGIN;page=0
70476649;6892;READING;page=0
70477430;6892;RELEASE_READ_BEGIN;page=0
70477431;6892;IDLE;page=0
70477960;6892;WAIT_READ_BEGIN;page=5
70477960;6892;READING;page=5
70478983;6892;RELEASE_READ_BEGIN;page=5
70478984;6892;IDLE;page=5
70479431;6892;WAIT_READ_BEGIN;page=16
70479431;6892;READING;page=16
70480302;6892;RELEASE_READ_BEGIN;page=16
70480302;6892;IDLE;page=16
