time;pid;state;info
70447062;28544;WAIT_READ_BEGIN;page=3
70447062;28544;READING;page=3
70447652;28544;RELEASE_READ_BEGIN;page=3
70447652;28544;IDLE;page=3
70448131;28544;WAIT_READ_BEGIN;page=15
70448138;28544;READING;page=15
70449292;28544;RELEASE_READ_BEGIN;page=15
70449293;28544;IDLE;page=15
70449712;28544;WAIT_READ_BEGIN;page=6
70449712;28544;READING;page=6
70450502;28544;RELEASE_READ_BEGIN;page=6
70450502;28544;IDLE;page=6
70450902;28544;WAIT_READ_BEGIN;page=12
70450902;28544;READING;page=12
70452003;28544;RELEASE_READ_BEGIN;page=12
70452003;28544;IDLE;page=12
70452649;28544;WAIT_READ_BEGIN;page=0
70452650;28544;READING;page=0
70453458;28544;RELEASE_READ_BEGIN;page=0
70453458;28544;IDLE;page=0
70453821;28544;WAIT_READ_BEGIN;page=12
70453821;28544;READING;page=12
70454347;28544;RELEASE_READ_BEGIN;page=12
70454347;28544;IDLE;page=12
70454967;28544;WAIT_READ_BEGIN;page=13
70454967;28544;READING;page=13
70456347;28544;RELEASE_READ_BEGIN;page=13
70456347;28544;IDLE;page=13
70456764;28544;WAIT_READ_BEGIN;page=6
70456764;28544;READING;page=6
70457644;28544;RELEASE_READ_BEGIN;page=6
70457644;28544;IDLE;page=6
70458201;28544;WAIT_READ_BEGIN;page=2
70458914;28544;READING;page=2
70459904;28544;RELEASE_READ_BEGIN;page=2
70459904;28544;IDLE;page=2
70460400;28544;WAIT_READ_BEGIN;page=11
70460400;28544;READING;page=11
70461657;28544;RELEASE_READ_BEGIN;page=11
70461658;28544;IDLE;page=11
70462069;28544;WAIT_READ_BEGIN;page=6
70462069;28544;READING;page=6
70462663;28544;RELEASE_READ_BEGIN;page=6
70462663;28544;IDLE;page=6
70463112;28544;WAIT_READ_BEGIN;page=11
70464099;28544;READING;page=11
70465231;28544;RELEASE_READ_BEGIN;page=11
70465231;28544;IDLE;page=11
70465601;28544;WAIT_READ_BEGIN;page=10
70465601;28544;READING;page=10
70466329;28544;RELEASE_READ_BEGIN;page=10
70466329;28544;IDLE;page=10
70466687;28544;WAIT_READ_BEGIN;page=10
70466688;28544;READING;page=10
70468035;28544;RELEASE_READ_BEGIN;page=10
70468035;28544;IDLE;page=10
70468653;28544;WAIT_READ_BEGIN;page=10
70468653;28544;READING;page=10
70469323;28544;RELEASE_READ_BEGIN;page=10
70469323;28544;IDLE;page=10
70470019;28544;WAIT_READ_BEGIN;page=15
70470019;28544;READING;page=15
70470548;28544;RELEASE_READ_BEGIN;page=15
70470548;28544;IDLE;page=15
70471200;28544;WAIT_READ_BEGIN;page=1
70471200;28544;READING;page=1
70471959;28544;RELEASE_READ_BEGIN;page=1
70471959;28544;IDLE;page=1
70472388;28544;WAIT_READ_BEGIN;page=11
70472388;28544;READING;page=11
70473645;28544;RELEASE_READ_BEGIN;page=11
70473645;28544;IDLE;page=11
70474338;28544;WAIT_READ_BEGIN;page=4
70474338;28544;READING;page=4
70475627;28544;RELEASE_READ_BEGIN;page=4
70475627;28544;IDLE;page=4
70475967;28544;WAIT_READ_BEGIN;page=8
70475967;28544;READING;page=8
70477227;28544;RELEASE_READ_BEGIN;page=8
70477228;28544;IDLE;page=8
